Knowledge Article: Question,Knowledge Article: URL Name,Knowledge Article: Answer
What is Unique Entity Number (UEN)?,what-is-unique-entity-number-uen,"The Unique Entity Number (UEN) is the standard identification number of an entity. The UEN is for registered entities while the NRIC is for Singapore Citizens and Singapore Permanent Residents. The UEN uniquely identifies the entity. For more information, please visit www.uen.gov.sg ."
"If I do not have a Unique Entity Number (UEN), can I register with the Board to pay my employees' CPF contributions?",if-i-do-not-have-a-unique-entity-number-uen-can-i-register-with-the-board-to-pay-my-employees-cpf-contributions,"You can apply for a CPF Submission Number (CSN) as you are considered to be trading under your own name hiring Singapore Citizen or Singapore Permanent Resident employees in your own capacity.   Some examples of employers trading under their own name include hawker hiring a hawker assistant, or a person who hires a personal driver, gardener, or domestic worker."
Can I use my Unique Entity Number (UEN) to perform transactions with CPF Board? Why do I have to use my CPF Submission Number (CSN)?,can-i-use-my-unique-entity-number-uen-to-perform-transactions-with-cpf-board-why-do-i-have-to-use-my-cpf-submission-number-csn,You must use your CPF Submission Number (CSN) to perform transactions with CPF Board. The CSN is the Unique Entity Number (UEN) + CPF Payment Code. The UEN alone is not sufficient to identify the different types of CPF payments made by you.
How do I start contributing CPF as a new employer?,how-do-i-start-contributing-cpf-as-a-new-employer,You will need a CPF Submission Number (CSN) to transact with CPF Board. You can refer to this guide to learn how to apply for a CSN and submit CPF contributions via CPF EZPay in five steps. Please give us your feedback and/or suggestions on the guide using the feedback form .
What is CPF Submission Number (CSN)?,what-is-cpf-submission-number-csn,"CPF Submission Number (CSN) is a unique identifier used by employers to transact with CPF Board. This includes making CPF payments and making any request relating to employer matters.   A CSN consists of an  Unique Entity Number (UEN) or NRIC/FIN (if you’re trading under your own name) and a CPF Payment Code.   You will need to apply for a different CSN for each type of payment you are making. Some examples include mandatory CPF contributions, Voluntary contributions, MediSave contributions under the Additional MediSave Contribution Scheme."
What is the CPF Payment Code?,what-is-the-cpf-payment-code,"The CPF Payment Code in your CPF Submission Number (CSN) identifies the different types of payments made by employers to the Board such as mandatory CPF contributions, Voluntary Contributions, and MediSave contributions under the Additional MediSave Contribution Scheme. You will need to apply for a different CSN for each type of payment that you are making."
How can the employees' CPF Account information under the old company be transferred to the new company?,how-can-the-employees-cpf-account-information-under-the-old-company-be-transferred-to-the-new-company,"CPF Board is unable to transfer the CPF Account details of employees from the old to the new company. Employers must apply for a new CPF Submission Number (CSN) for the new company and inform the Board to cancel the old company's existing CSN. When submitting the first CPF payment under the new CSN, employers must provide the CPF Account information for all employees."
How long does it take to process the “Apply for CPF Submission Number” online application?,how-long-does-it-take-to-process-the-apply-for-cpf-submission-number-online-application,Service Normal Processing Time Apply for CPF Submission Number – Mandatory contribution Immediately upon submission. Apply for CPF Submission Number – Voluntary contribution/Additional MediSave contribution Scheme Within seven working days.  
I have ceased engaging employee(s) for a period of time. Can I use my previously issued CPF Submission Number (CSN) to pay CPF contributions for newly hired employee(s)?,i-have-ceased-engaging-employee-s-for-a-period-of-time-can-i-use-my-previously-issued-cpf-submission-number-csn-to-pay-cpf-contributions-for-newly-hired-employee-s,"You can use the previously issued CPF Submission Number (CSN) to pay CPF contributions for your employee(s), provided that your UEN remains the same for your business entity or you are an individual trading under your own name."
What if I am overseas and I am not able to personally handle the transactions when I buy a property?,what-if-i-am-overseas-and-i-am-not-able-to-personally-handle-the-transactions-when-i-buy-a-property,"You may appoint someone with the legal authority to act on your behalf under the Power of Attorney.   By appointing someone under the Power of Attorney, you can ensure that your CPF savings and property matters are being taken care of even when you are unable to do so yourself."
What are the enhancements to the Employer Digital Services?,what-are-the-enhancements-to-the-employer-digital-services,"We have recently enhanced the Employer Digital Services to better meet employers’ needs. With a more intuitive interface and enhanced aesthetics, you can now experience a seamless journey for these applications:   Application Description Activities View submission status and details of past transactions for employers Account Settings Real-time access and update of employer’s contact and address details to receive important CPF Information. Apply for CPF Submission Number Enjoy instant registration of employers’ CPF Submission Number with a new user interface. Refund and adjustment of contributions paid Conveniently apply refund and adjustment of CPF contributions using a single form. Pay composition amount Effortlessly retrieve the composition amount details and pay with just a simple click upon login.   You may refer to this  video  for a walkthrough of the enhancement.   For more details on the enhancements, please refer to the below FAQs:   1 How can I view the status of my applications? 2 What is new in viewing and updating employer details in 'Account Settings'? 3 What is new in the updated 'Apply for CPF Submission Number' form? 4 How is the application process for refund and adjustment of CPF contributions improved? 5 How can I grant my staff access to 'Other Employer Services'?  "
What is new in viewing and updating employer details in 'Account Settings'?,what-is-new-in-viewing-and-updating-employer-details-in-account-settings,"You can view and update your employer particulars such as principal place of business address and contact details in the "" Account Settings "".   With the new interface, you can conveniently view essential information at a glance; these include: the principal place of business, primary and secondary Singapore Standard Industrial Classification (SSIC) of your business, contact details of the owner or employer representative, and the person in charge of CPF matters.   Updates for mandatory contribution CPF Submission Numbers are instant. Moreover, you can now update the authorised officers’ email addresses in “Account Settings” for CPF submissions. There is no need to update separately in CPF EZPay.   Ensuring your particulars are up-to-date is crucial for receiving important CPF information timely. Do update your employer's details as soon as there are changes."
What is the Additional Wage (AW) ceiling?,what-is-the-additional-wage-aw-ceiling,"The Additional Wage (AW) ceiling limits the amount of Additional Wages that attract CPF contributions. The AW ceiling is applied on a per employer per calendar year basis. The AW ceiling is computed as follows:   $102,000 - Total Ordinary Wage subject to CPF for the year You can also compute the amount of AW that is CPF payable using the Additional Wage ceiling Calculator .   Find out more about AW and the AW ceiling ."
"If I previously withdrew from my Retirement Account by pledging my property, what happens to my pledged property after I make a voluntary housing refund?",if-i-previously-withdrew-from-my-retirement-account-by-pledging-my-property-what-happens-to-my-pledged-property-after-i-make-a-voluntary-housing-refund,You will need to refund the amount you previously pledged if the voluntary housing refund is not enough to meet the Full Retirement Sum in your Retirement Account. Check the amount you need to refund under “What happens if” of your Home ownership dashboard .
"I am the authorised payroll vendor representing the company, can I update the employer particulars on behalf of my client?",i-am-the-authorised-payroll-vendor-representing-the-company-can-i-update-the-employer-particulars-on-behalf-of-my-client,"If your Corppass Administrator has granted you access to the ""CPF Services For Employers And Business Partners"" e-Service via the Corppass portal, you can update the employer particulars on behalf of your client."
Do I need to update my employer's contact information at both the “Account settings” and CPF EZPay?,do-i-need-to-update-my-employer-s-contact-information-at-both-the-account-settings-and-cpf-ezpay,You are only required to update employer's contact details under “ Account settings ”.
I have renounced my citizenship/Permanent Residency (PR) and noticed that my CPF savings has been used to pay my outstanding MediShield Life premiums. Can I request for a refund?,i-have-renounced-my-citizenship-permanent-residency-pr-and-noticed-that-my-cpf-savings-has-been-used-to-pay-my-outstanding-medishield-life-premiums-can-i-request-for-a-refund,There is no refund of the CPF savings used to pay your outstanding MediShield Life premiums because insurance coverage had been provided to you before you renounced your citizenship/PR. 
Is it mandatory for all companies to apply for a CPF Submission Number (CSN) with the CPF Board?,is-it-mandatory-for-all-companies-to-apply-for-a-cpf-submission-number-csn-with-the-cpf-board,All employers are required to apply for a CPF Submission Number with the Board before they can submit their CPF contributions.
How can I apply for an additional CPF Submission Number (CSN) for my MOM Work Permit or for payroll segregation purposes?,how-can-i-apply-for-an-additional-cpf-submission-number-csn-for-my-mom-work-permit-or-for-payroll-segregation-purposes,"To apply for an additional CPF Submission Number (CSN) for MOM Work Permit purposes or for payroll segregation, please submit your application using the Apply for CPF Submission Number form.   Do note that you need to have obtained prior approval from MOM's Work Pass Division before proceeding with the application for additional CSN for MOM Work Permit purposes."
When and how do I obtain my CPF Submission Number (CSN) as a new employer?,when-and-how-do-i-obtain-my-cpf-submission-number-csn-as-a-new-employer,You should apply for your CPF Submission Number (CSN) as soon as you intend to hire your first employee. You will need your Singpass and entity's Unique Entity Number (UEN) to complete the application. You can refer to this guide  on how you start contributing CPF as a new employer.
Do I need to apply for a new CPF Submission Number (CSN) if my subsidiary company has a different Unique Entity Number (UEN) from the parent company?,do-i-need-to-apply-for-a-new-cpf-submission-number-csn-if-my-subsidiary-company-has-a-different-unique-entity-number-uen-from-the-parent-company,"You are required to apply for a new CPF Submission Number (CSN) if your subsidiary company has a different Unique Entity Number (UEN) from the parent company. To apply for a CSN, please submit your application using Apply for CPF Submission Number ."
I disagree with MediShield Life coverage. Please do not cover me under MediShield Life. How can I appeal against MediShield Life coverage?,i-disagree-with-medishield-life-coverage-please-do-not-cover-me-under-medishield-life-how-can-i-appeal-against-medishield-life-coverage,"MediShield Life provides universal coverage to all Singapore Citizens (SCs) and Permanent Residents (PRs) so that they have assurance against large healthcare bills. MediShield Life is mandatory for all SCs and PRs, as by sharing in the national risk pool, Singapore residents collectively play our part in supporting our healthcare costs."
How do I decide how to invest?,how-do-i-decide-how-to-invest,"You need to establish a balance between risk and return that you are comfortable with. When establishing this balance, you should consider all the followings:   Your risk tolerance  - the amount of risk you are comfortable with and can afford to take. Can you still sleep at night if your investments have temporary short-term losses? Do you have enough savings that you can financially afford to take some investment risk? Your investment time horizon  - How long will your assets be invested? Your CPF savings are for the long term. Unless you are close to retirement or have a short-term investment time horizon for other reasons, you should generally invest for the long term, but you need to decide what ""long"" means to you. Your overall financial situation - How much money will you need to sustain your lifestyle during retirement? Do you have other assets set aside for retirement besides your CPF savings? How are all of those assets invested? What are your financial commitments?"
Can I use my CPF savings for the same property after effecting a voluntary housing refund to my account?,can-i-use-my-cpf-savings-for-the-same-property-after-effecting-a-voluntary-housing-refund-to-my-account,You can use your Ordinary Account savings for the same property after effecting a voluntary housing refund to your account so long as you still have an outstanding loan.
What happens if I make a voluntary housing refund when I am 55 years old and above?,what-happens-if-i-make-a-voluntary-housing-refund-when-i-am-55-years-old-and-above,"The refund amount will be transferred to your Retirement Account (RA) to meet your cohort’s Full Retirement Sum (FRS). This transfer will help boost your retirement savings and provide you with a higher monthly payout upon reaching your payout eligibility age.   When you turn 55 years old, you can withdraw at least $5,000 or any amount in excess after setting aside your FRS. Check the amount you can withdraw by logging in to your Retirement dashboard ."
Can I invest in shares listed on the Singapore Exchange (SGX) as long as they meet the inclusion criteria under the CPF Investment Scheme (CPFIS)?,can-i-invest-in-shares-listed-on-the-singapore-exchange-sgx-as-long-as-they-meet-the-inclusion-criteria-under-the-cpf-investment-scheme-cpfis,"The Board welcomes the inclusion of shares listed on the SGX Mainboard as long as they meet the inclusion criteria. However, some companies who meet the inclusion criteria have not applied to be included under CPF Investment Scheme (CPFIS), and CPF savings cannot be used for these shares. You can refer to SGX website for the list of shares included under the CPFIS."
"I have renounced my Singapore Citizenship/Permanent Resident status, what will happen to my MediShield Life cover?",i-have-renounced-my-singapore-citizenship-permanent-resident-status-what-will-happen-to-my-medishield-life-cover,"When MediShield was replaced by MediShield Life, the Government had given concession to a small number of foreigners with MediShield cover to continue their coverage under MediShield Life.   With the closure of CPF accounts for all foreigners on 1 April 2024, you will continue to be covered under MediShield Life as long as you continue to pay your premiums.   If you are using your own MediSave Account to pay the premiums and no alternative payment arrangements are made, your MediShield Life cover will lapse.   I am (i) residing overseas or (ii) have renounced my Singapore Citizenship/Permanent Resident status. How do I pay my CareShield Life/ElderShield/MediShield Life premiums?"
Can I cancel or terminate my MediShield Life cover?,can-i-cancel-or-terminate-my-medishield-life-cover,"MediShield Life provides universal healthcare coverage to Singapore Citizens (SCs) and Permanent Residents (PRs) regardless of their pre-existing medical conditions, for life. Coverage is mandatory for SCs/PRs and cannot be cancelled or terminated. With every Singapore resident collectively supporting our healthcare costs by paying premiums and pooling our healthcare risks under MediShield Life, we can keep annual premiums affordable to support payouts for those of us who incur unexpectedly large hospital bills."
I am no longer a Singaporean or a Permanent Resident. What will happen to my Dependants' Protection Scheme cover?,i-am-no-longer-a-singaporean-or-a-permanent-resident-what-will-happen-to-my-dependants-protection-scheme-cover,"Your Dependants’ Protection Scheme (DPS) cover will be terminated as the scheme is only applicable to Singapore Citizens and Permanent Residents.   Your DPS insurer will refund any unused DPS premiums for the current policy year to your CPF account. The unused DPS premiums will be paid to you along with your CPF savings, when you transfer your savings to your bank account.   If you wish to find out more, please contact your DPS insurer, Great Eastern Life at dps-sg@greateasternlife.com ."
Can I terminate my Dependants' Protection Scheme cover?,can-i-terminate-my-dependants-protection-scheme-cover,"Coverage under the Dependants' Protection Scheme (DPS) is not compulsory. You can terminate your DPS cover any time by completing the opt out form. Please approach your DPS insurer, Great Eastern Life for the form.   Please consider the benefits of DPS carefully before you terminate your DPS cover. Continuing with your DPS cover will provide some financial protection for your family. If you decide to join DPS again in the future, you will need to submit a health declaration again and the cover will be provided subject to you being in good health then."
Who will be covered under Dependants' Protection Scheme?,who-will-be-covered-under-dependants-protection-scheme,All Singaporeans and Permanent Residents between age 16 and 65 can be covered under Dependants' Protection Scheme (DPS).   DPS coverage is automatically extended to Singapore Citizens or Permanent Residents upon a valid CPF working contribution between 21 and 65 years old.   Members aged 16 and above who were not extended a DPS cover automatically but wish to be insured can apply to join DPS with Great Eastern Life directly.
"Can the repayment of the CPF Education Loan and interest be waived, especially during economic downturns?",can-the-repayment-of-the-cpf-education-loan-and-interest-be-waived-especially-during-economic-downturns,"CPF is primarily for members' retirement needs. Hence, while you can take a loan from your CPF Ordinary Account (OA) for your own or immediate family's tertiary education, the principal amount withdrawn has to be repaid to your OA, with the interest that you would otherwise have earned had the monies been left in your OA. This restores your CPF savings so that your retirement security is not worse off compared to not having taken the education loan. Retirement security remains important, if not more so, during economic downturns.    A waiver of the repayment is only allowed if you have already met your retirement needs, i.e. you are 55 years old and above and have set aside the Full Retirement Sum in your Retirement Account."
Are my MediSave Account savings covered under CPF Nomination?,are-my-medisave-account-savings-covered-under-cpf-nomination,"CPF Nomination covers all savings in your MediSave Account, including those in your Ordinary, Special and Retirement Accounts."
Is Dependants' Protection Scheme compulsory?,is-dependants-protection-scheme-compulsory,"Coverage under the Dependants' Protection Scheme (DPS) is not compulsory. Insured members can contact their existing insurer, Great Eastern Life or NTUC Income, to terminate their DPS cover any time by completing the opt out form.   Members should consider the benefits of DPS carefully before he/she terminates his/her DPS cover. Continuing with the DPS cover will provide some financial protection for the member’s family. If members decide to rejoin DPS in the future, they will need to submit a health declaration again and the cover will be provided subject to them being in good health then."
What are the claim exclusions for Dependants' Protection Scheme?,what-are-the-claim-exclusions-for-dependants-protection-scheme,Claim benefits under Dependants' Protection Scheme (DPS) will not be payable if any of the following events occur within the first policy year of the cover: Member committed self-inflicted injury or suicide Member committed a criminal offence punishable by death The claim arose out of member's own intentional criminal act DPS benefits are also not payable if: Member was not in good health before the commencement of DPS cover Member provided false or misleading information The claim arose from wars or any war-like operations or participation in any riot
"Even though I have been granted access to all e-Services in Corppass, I am still unable to login to CPF EZPay. What should I do?",even-though-i-have-been-granted-access-to-all-e-services-in-corppass-i-am-still-unable-to-login-to-cpf-ezpay-what-should-i-do,"Before you can access CPF EZPay, your Corppass Admin or Sub-Admin must set up and assign “CPF EZPay” e-Service to your CPF Submission Number(s) in the Corppass portal.   This is required even if you are granted access to all e-Services in Corppass portal. This is because access for CPF submissions is controlled at CSN level for authorised users.   You can refer to our guide to learn how to set up and assign CPF EZPay in Corppass portal."
How do I make CPF back payments for my employees?,how-do-i-make-cpf-back-payments-for-my-employees,"You can make back payments into your employees’ CPF accounts through CPF EZPay or CPF EZPay Mobile.   CPF EZPay   You can submit CPF contributions as per normal via CPF EZPay but select the correct Month and Year for your back payments. Please note that changes made will be saved to your employee database in CPF EZPay for future CPF submissions.   If you do not wish to affect your employee database in CPF EZPay for future CPF submissions, you can make use of the Submit ad hoc CPF payments option to submit your back payments instead. Auto-computation is not available for this option. However, you can load employee details from submissions made up to six months ago.   Here’s how to use the Submit ad hoc CPF payments option in CPF EZPay:   Select CPF EZPay Select For UEN-registered entities or For individuals trading under own name and login with your Singpass. Key in your CPF Submission Number (CSN). At Submit Contribution , select CPF EZPay . Key in the Month and Year . Select Submit ad hoc CPF payments (For one-time CPF submission (no auto-computation), or other ad hoc payments e.g. late payment interest). Enter the contribution details for the affected employee. After completing all of the contribution details and the summary portion, click on Continue . Confirm submission by clicking on your pre-arranged payment mode with the Board (Direct Debit/PayNow QR).   CPF EZPay Mobile   You can also submit CPF contributions via CPF EZPay Mobile and make payment via PayNow QR by selecting the correct Month and Year for your back payments. You can refer to this guide on how you can make a submission."
Can I select my preferred deduction date now that the default direct deduction date is set at two working days after the submission date?,can-i-select-my-preferred-deduction-date-now-that-the-default-direct-deduction-date-is-set-at-two-working-days-after-the-submission-date,You can select your preferred deduction date. Please click on the calendar icon under the Direct Debit option to change the date before submitting the contributions.
When and how can I submit CPF contributions after obtaining my new CPF Submission Number?,when-and-how-can-i-submit-cpf-contributions-after-obtaining-my-new-cpf-submission-number,"You may submit your CPF contributions via the following methods:   Submitting Your CPF Contributions via CPF EZPay Mobile   If your CSN application was submitted before 5pm, you can submit your CPF contributions via CPF EZPay Mobile the next day.   Submitting Your CPF Contributions via CPF EZPay   If your CSN application was submitted before 5pm, you can submit your CPF contributions via CPF EZPay two days later.   Note: For UEN-registered entity, please be reminded to perform a one-time setup at Corppass portal before you can login to CPF EZPay."
How do I check the status of my submission? What do the different Submission Status under the View / Amend / Delete Submission screen mean?,how-do-i-check-the-status-of-my-submission-what-do-the-different-submission-status-under-the-view-amend-delete-submission-screen-mean,"To view the status of your submission, please login to CPF EZPay and select View / Amend / Delete Submission option under Manage Records & Preferences section of the Main Menu .   Please refer to the chart below for the different submission status.   Submission Status What it means Draft This submission is incomplete and CPF has not received your submission yet. Submitted This submission will be processed after 5.15pm daily. Therefore, if there are any errors in the submission, you may amend or delete your submission before it is processed. Processed Submission was successfully processed.  "
What is the difference between the Administrator and Editor?,what-is-the-difference-between-the-administrator-and-editor,The table below summarises the roles of the Administrator and Editor within CPF EZPay.   Entity Type Administrator Role Editor Role UEN registered entities Update email addresses for ‘Persons in charge of CPF contribution matters’ (only applicable for employers holding CSN for voluntary contributions) Submit CPF contributions on behalf of the company      View previously submitted CPF contribution details Submit CPF contributions on behalf of the company View previously submitted CPF contribution details Individuals trading under own name Update email addresses for ‘Persons in charge of CPF contribution matters’ (only applicable for employers holding CSN for voluntary contributions) Add and Delete Administrator(s) /Editor(s) Submit CPF contributions on behalf of the company       View previously submitted CPF contribution details Submit CPF contributions on behalf of the company View previously submitted CPF contribution details
How do I know if I have completed my CPF submission?,how-do-i-know-if-i-have-completed-my-cpf-submission,"Once you have completed your submission, you will see an acknowledgement page called “CPF EZPay Acknowledgment”. You can view or save this page by clicking on the printer icon which you will be prompted to download a PDF. You will not be able to save or print this acknowledgment page if you closed your internet browser.   You will also receive an email acknowledgement if your email address is registered in 'Account settings'."
How can I check if my company has been successfully registered for CPF EZPay?,how-can-i-check-if-my-company-has-been-successfully-registered-for-cpf-ezpay,You will be notified via your registered email address once your company has been successfully registered for CPF EZPay.
Does CPF EZPay compute Additional Wage (AW) Ceiling?,does-cpf-ezpay-compute-additional-wage-aw-ceiling,CPF EZPay does not compute AW Ceiling as it does not track wages on an annual basis. You may use our  CPF Additional Wage Ceiling Calculator to calculate the AW Ceiling or do so manually.
I am submitting CPF contributions via CPF EZPay. How can I link up my CPF data for the Auto Inclusion Scheme (AIS) under IRAS?,i-am-submitting-cpf-contributions-via-cpf-ezpay-how-can-i-link-up-my-cpf-data-for-the-auto-inclusion-scheme-ais-under-iras,You can visit IRAS website to sign up for the CPF Data Link-up Service.
How do I print the CPF EZPay acknowledgement if I have closed the browser?,how-do-i-print-the-cpf-ezpay-acknowledgement-if-i-have-closed-the-browser,"It is not possible to print the ""CPF EZPay Acknowledgement"" page once you have closed the browser.   Instead, you may login to our CPF EZPay to view the status of your submission.   You will also receive an email from the Board within the day acknowledging the receipt of your submission."
Is there a limit to the number of submissions I can perform each day using CPF EZPay?,is-there-a-limit-to-the-number-of-submissions-i-can-perform-each-day-using-cpf-ezpay,"There are different limits to the number of CPF submissions that you can perform each day.   CPF EZPay   You can submit up to 99 submissions within the day. If you try to make additional submissions, our system will prompt you with the message “A file with the same advice code has already been submitted”.   CPF EZPay (FTP)   Multiple file submissions within the same day are allowed, provided a different advice code is used in the submission file. If you are submitting a file using the same advice code or more than 99 files, you will be prompted with a message “A file with the same advice code has been already submitted. Please change the advice code and re-submit”.   For more information on how to assign an advice code, please refer to  CPF EZPay FTP guide (PDF, 3.7MB)."
I currently submit CPF contributions using my own payroll software. How do I switch to CPF EZPay?,i-currently-submit-cpf-contributions-using-my-own-payroll-software-how-do-i-switch-to-cpf-ezpay,"If you are currently submitting CPF contributions within your payroll software, you are already registered for CPF EZPay as well. Simply login to CPF EZPay from our CPF website to submit your monthly CPF contributions using CPF EZPay.   Find out more  about the various ways you can submit your CPF contributions using CPF EZPay."
What is CPF EZPay?,what-is-cpf-ezpay,"CPF EZPay is a free service provided by CPF Board where employers can submit their employees’ CPF contribution details and make payment electronically.   Find out how you can submit CPF contributions easily via CPF EZPay and make payment using Direct Debit .   To find out more about how to use CPF EZPay, you may refer to the User Guide (PDF, 2.0MB) or watch the Video Guide on YouTube."
What is the period for income declaration to IRAS?,what-is-the-period-for-income-declaration-to-iras,"If you receive a notification (via letter/form/SMS) to file tax from IRAS, or you meet the requirement to file tax (i.e. NTI above $6,000 and/or Total Income above $22,000), please complete and submit the tax return to IRAS directly. The income tax filing period is from 1 March to 18 April annually.   If you do not receive a notification from IRAS or do not meet the requirement to file tax, you can declare your self-employed net trade income (NTI) to IRAS via myTax Portal which will be available from 1 March to 31 October annually for taxpayers to e-File tax returns.   Once IRAS has assessed your income for the year, your assessed NTI will be transmitted to the Board. You can check your updated NTI records by logging in to the Self-employment dashboard with your Singpass."
How do I apply for Corppass access to submit CPF contributions?,how-do-i-apply-for-corppass-access-to-submit-cpf-contributions,"A UEN-registered entity can apply for Corppass access at the Corppass portal .   Before using CPF EZPay for the first time, you will need to perform a one-time setup in Corppass portal after you have obtained Corppass access. You can refer to this guide on how to set up and assign CPF EZPay in Corppass portal."
How long will CPF Board take to process my application for CPF EZPay?,how-long-will-cpf-board-take-to-process-my-application-for-cpf-ezpay,The service standard for processing CPF EZPay application is as follows:   Service Processing Time CPF EZPay Three working days
"The employee's name I submitted is different from the name in his/her NRIC, what should I do?",the-employee-s-name-i-submitted-is-different-from-the-name-in-his-her-nric-what-should-i-do,"CPF contribution will be credited to employee's CPF account based on NRIC despite the mismatched name. Any mismatch in the name and NRIC for new hires who are contributing their CPF for the first time with the employer will be flagged out once in the ROP. Employers are required to correct employee's name in the next CPF submission.   If you have paid CPF contributions to the intended employee   Please remember to update your employee's name as shown in his/her NRIC in your next CPF submission. Kindly note that matching is only done on the principal name, so you should not key in variants such as hanyu pinyin and aliases.   If you have paid CPF contributions to the wrong employee   Please request for refund   or  adjustment of CPF contributions immediately.   Any errors in CPF contributions should be rectified early while the documentary evidence is fresh. Request for refund or adjustment of CPF contributions Online must be made within one year from the date of payment of the CPF .   You can refer to the 'Payment Received on' field in the Record of Payment to determine the date of payment."
How is the Year-in-Review different from the CPF Yearly Statement of Account?,how-is-the-year-in-review-different-from-the-cpf-yearly-statement-of-account,"The Year-in-Review (YIR) is designed to give you an overview of your CPF account balances, inflow and outflow in the last 12 months from your birthday month. It also includes key milestones within the last 12 months and things to look out for in the next 12 months from your birthday month. You will also see a link to the CPF Retirement Planning Service which allows you to set your own retirement goal.   The CPF Yearly Statement of Account (YSOA) will give you an overview of your CPF transactions for the past calendar year."
What is the Year-in-Review?,what-is-the-year-in-review,"The Year-in-Review (YIR) is a personalised statement prepared for you on your birthday. When you open your YIR, you will see an overview of your CPF account balances, inflow and outflow and key milestones in the last 12 months from your birthday month. It will also inform you on what to look out for in the next 12 months. The YIR also includes useful resources and steps that you can consider to start your retirement planning. Your YIR will be refreshed every year on your birthday. You can access your YIR (Singpass required) if you have celebrated your birthday this year. Otherwise, you can look forward to receiving your YIR on your birthday. View the YIR guide on how to read your YIR."
How do I read my Year-in-Review?,how-do-i-read-my-year-in-review,"You can view the guide on the Year-in-Review (YIR) below:   Year-in-Review Guide (PDF, 0.56MB)"
I would like to check my past transaction records. How can I do so?,i-would-like-to-check-my-past-transaction-records-how-can-i-do-so,You can access transactions up to the past 15 months via Singpass login at my cpf digital services .
The format of my monthly transaction statement looks different from that received previously. Can I request to receive it in the previous format?,the-format-of-my-monthly-transaction-statement-looks-different-from-that-received-previously-can-i-request-to-receive-it-in-the-previous-format,The CPF Monthly Transaction Statement was redesigned to improve user-friendliness and experience across all devices. We understand that you would like to have your statement displayed in the previous format. You can view your statement in tabular form in the PDF version by using your laptop/desktop to access the link provided in the email notification and clicking on the PDF icon found on the top right corner of the statement page.
How can I view my employment contribution details in my Transaction History?,how-can-i-view-my-employment-contribution-details-in-my-transaction-history-on-the-cpf-mobile-app,"To view your CPF working contribution details, you can use the newly introduced filter options for “Employment Contributions” and “Self-Employed Contributions” under the Transaction History. These options allow you to display either one or both types of contributions, making it easier for you to track them."
Where can I view my Contribution History?,where-can-i-view-my-contribution-history-on-the-latest-version-of-the-cpf-mobile-app,"We have introduced a new filter feature in the Transaction History that allows you to view your CPF transactions or CPF working contributions more seamlessly in a single statement. With this new feature, you can view your CPF working contributions in your Transaction History, by selecting the “Employment Contributions” and/or “Self-Employed Contributions” category(ies) in the Transaction History filter.   For more information on the new feature, please refer to the FAQ on ‘ How can I view my employment contribution details in my Transaction History? ’"
Can I use MediSave savings for Assisted Conception Procedure (ACP) treatments?,can-i-use-medisave-savings-for-assisted-conception-procedure-acp-treatments,MediSave withdrawal limits for ACP treatments
What is the Drive and Save (DAS) Scheme?,what-is-the-drive-and-save-das-scheme-er,"The Drive and Save (DAS) Scheme is a tripartite co-contribution scheme initiated by the National Taxi Association (NTA) and the taxi industry, and supported by the Ministry of Manpower and CPF Board. DAS aims to enhance the welfare of all taxi principal hirers."
What is the Drive and Save (DAS) Scheme?,what-is-the-drive-and-save-das-scheme,"The Drive and Save (DAS) Scheme is a tripartite co-contribution scheme initiated by the National Taxi Association (NTA) and the taxi industry, and supported by the Ministry of Manpower and CPF Board. DAS aims to enhance the welfare of all taxi principal hirers."
What is the MediSave Maternity Package?,what-is-the-medisave-maternity-package,"The MediSave Maternity Package is a package that allows MediSave to be used to pay expenses incurred during delivery and pre-delivery medical expenses such as consultations, ultrasounds, tests, medications etc."
Can I use my MediSave for my maternity expenses?,can-i-use-my-medisave-for-my-maternity-expenses,"MediSave can be used to pay for the delivery and pre-delivery medical expenses.   Pre-delivery expenses have to be claimed under the MediSave Maternity Package. However, post-natal consultation fees cannot be claimed under MediSave."
"Why is the threshold for total CPF contributions set at $140,000 to be eligible for the Silver Support Scheme?",why-is-the-threshold-for-total-cpf-contributions-set-at-140-000-to-be-eligible-for-the-silver-support-scheme,"An eligibility criterion of $140,000 set for the Silver Support Scheme would include seniors who were earning lower wages through their working lives, and those who did not work due to reasons such as care-giving responsibilities and medical conditions.   The Total CPF Contributions threshold was increased from $70,000 to $140,000 in 2021 to strengthen support for seniors with lesser means. The Government will review the criteria from time to time, to ensure that the Silver Support Scheme is able to reach those who need it most."
Why is the age cut-off for total CPF contributions set at 55 for the assessment of eligibility for the Silver Support Scheme?,why-is-the-age-cut-off-for-total-cpf-contributions-set-at-55-for-the-assessment-of-eligibility-for-the-silver-support-scheme,"For the assessment of eligibility for the Silver Support Scheme, we do not look at CPF contributions after the age of 55, so as to encourage older Singaporeans to continue working and saving for retirement.   We have also set the cut-off age at 55 to provide a meaningful comparison across cohorts, which experience different sets of CPF withdrawal rules and wage adjustments after age 55."
